,EPOCH,P_LOSS,V_LOSS
0,0,2.984332041987718,0.6957966576375489
1,1,1.5747625946214898,0.27139323830354206
2,2,1.1696448659763332,0.1424453070049705
3,3,0.9779248081450629,0.09633022064127895
4,4,0.8524707451132576,0.07108829877253799
5,5,0.7608907655523675,0.05566468276813191
6,6,0.6954732405673508,0.047062388167627235
7,7,0.644118562565687,0.039746954683324454
8,8,0.601580567264284,0.03529924820576607
9,9,0.5685799580647006,0.03034562429781246
